# generated 2026-04-15T17:54:59.408062
source,row,model,focus,scholar,tone,round,prompt_id,lex_jaccard_max,lex_jaccard_mean,lex_jaccard_T1_immersive,lex_jaccard_T2_identity,lex_jaccard_T3_reflection,syn_jaccard_max,syn_jaccard_mean,syn_jaccard_T1_immersive,syn_jaccard_T2_identity,syn_jaccard_T3_reflection,tfidf_cos_max,tfidf_cos_mean,tfidf_cos_T1_immersive,tfidf_cos_T2_identity,tfidf_cos_T3_reflection
unlimited,4,ChatGPT 5 (Auto),Basic,,,,P1,0.0,0.0,0.0,0.0,0.0,0.0625,0.041666666666666664,0.0625,0.0625,0.0,0.19024513901109497,0.10173313199261379,0.04421317575644092,0.19024513901109497,0.07074108121030546
unlimited,5,Claude (Sonnet 4),Basic,,,,P1,0.0,0.0,0.0,0.0,0.0,0.05,0.016666666666666666,0.05,0.0,0.0,0.13938889959715114,0.11786502982807033,0.0838198134340669,0.13938889959715114,0.13038637645299295
unlimited,6,ChatGPT 5 (Auto),Role,,,,P2,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.024691358024691357,0.037037037037037035,0.0,0.037037037037037035,0.18205868122262478,0.12274182379182746,0.08462126825129891,0.18205868122262478,0.10154552190155869
unlimited,7,Claude (Sonnet 4),Role,,,,P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1501201441922692,0.10710144706554481,0.032097036938318474,0.1501201441922692,0.1390871600660467
unlimited,8,ChatGPT 5 (Auto),Role,,,,P3,0.02564102564102564,0.008547008547008546,0.0,0.02564102564102564,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.2396136435237561,0.17989472071135185,0.12441948332622173,0.2396136435237561,0.17565103528407774
unlimited,9,Claude (Sonnet 4),Role,,,,P3,0.0,0.0,0.0,0.0,0.0,0.05,0.03333333333333333,0.05,0.05,0.0,0.17471876758147875,0.16566281755656279,0.17471876758147875,0.16343444183231987,0.15883524325588977
unlimited,10,ChatGPT 5 (Auto),Domain,,,,P4,0.06666666666666667,0.022222222222222223,0.0,0.0,0.06666666666666667,0.07142857142857142,0.023809523809523808,0.0,0.0,0.07142857142857142,0.24098948748012453,0.14442621116576457,0.03805097170738808,0.1542381743097811,0.24098948748012453
unlimited,11,Claude (Sonnet 4),Domain,,,,P4,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0392156862745098,0.058823529411764705,0.058823529411764705,0.0,0.1575521978122203,0.1203991420248847,0.1575521978122203,0.14737658618664082,0.05626864207579296
unlimited,12,ChatGPT 5 (Auto),Domain,,,,P5,0.043478260869565216,0.014492753623188406,0.0,0.043478260869565216,0.0,0.045454545454545456,0.030303030303030304,0.045454545454545456,0.045454545454545456,0.0,0.2072566680724196,0.14663390032927223,0.14401835370953153,0.2072566680724196,0.08862667920586556
unlimited,13,Claude (Sonnet 4),Domain,,,,P5,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0196078431372549,0.0,0.058823529411764705,0.0,0.19874907482333154,0.11551849120543882,0.05542739954736933,0.19874907482333154,0.09237899924561556
